0,1,2,3,4,5,6,7,8,9,10,11,12
1539.92,1547.09,1536.4,1546.33,810015900,-1.5433,8.0106,1568.5548,0.008,53.6036,1568.494,-1.348,8.5368
1546.74,1549.45,1540.34,1549.45,367562200,-1.2356,11.2473,1565.6156,0.0081,46.589,1563.502,-2.7721,18.1661
1549.82,1553.1,1549.05,1550.25,240075900,-1.0751,17.9441,1563.2517,0.0082,42.578,1558.72,-3.7925,20.7338
1550.04,1551.32,1547.46,1548.97,201202400,-1.0388,16.4117,1561.0545,0.0082,38.8394,1553.774,-4.6509,19.5557
1549.06,1552.8,1548.38,1552.8,176417300,-0.6802,18.1427,1559.7846,0.0085,39.5323,1549.56,-4.9649,33.1872
1552.76,1553,1549.56,1549.56,166941800,-0.7658,17.1138,1558.2116,0.0019,37.2997,1550.206,-5.4127,28.3163
1550.19,1552.74,1549.22,1552.62,135663300,-0.4662,15.5789,1557.3513,0.0019,39.1358,1550.84,-5.4578,38.5396
1552.62,1552.63,1546.95,1547.33,155441900,-0.6713,13.3496,1555.8096,0.0025,35.7367,1550.256,-5.853,29.7405
1547.38,1549.79,1547.33,1549.79,132094500,-0.3822,12.4586,1554.8835,0.0027,50.551,1550.42,-5.8996,37.6805
1549.61,1553.06,1549.45,1552.82,114928300,-0.0732,20.3905,1554.566,0.0026,66.3025,1550.424,-5.6272,46.6
1552.97,1553.63,1550.57,1553.05,114367500,0.0524,20.2313,1554.3328,0.0023,74.6408,1551.122,-5.3313,47.2872
1553.1,1553.28,1548.7,1550.51,102566200,0.0142,17.501,1553.7447,0.0023,67.525,1550.7,-5.2414,40.3975
1550.46,1551.39,1549.12,1550.61,92511000,-0.0024,16.2471,1553.2624,0.0014,63.2801,1551.356,-5.1032,40.805
1550.48,1551.26,1549.45,1551.15,84641200,0.0233,15.2424,1552.9374,0.0013,63.1448,1551.628,-4.8937,43.316
1551.12,1554.57,1551.12,1554.17,83494800,0.197,24.9041,1553.1271,0.0013,73.6801,1551.898,-4.4328,55.8772
1554.22,1554.58,1553.36,1554.43,77282600,0.1843,23.7823,1553.3275,0.0013,81.7981,1552.174,-4.0006,56.8648
1554.43,1554.9,1553.6,1554.07,72991800,0.1543,23.8275,1553.4417,0.0009,84.2106,1552.886,-3.645,54.8259
1553.83,1555.48,1552.27,1552.27,83115800,0.0237,20.6421,1553.2615,0.0011,73.692,1553.218,-3.4685,45.1196
1552.28,1552.28,1550.08,1550.08,116939200,-0.1038,18.6684,1552.772,0.0013,55.9127,1553.004,-3.4653,35.8525
1550.22,1550.22,1548.14,1548.4,113164200,-0.2178,16.9052,1552.0994,0.0007,38.4559,1551.85,-3.5574,30.1517
1548.39,1548.39,1544.85,1545.27,174993900,-0.3953,14.2539,1551.0487,0.0006,26.9543,1550.018,-3.8387,22.244
1545.31,1547.58,1544.99,1547.27,103107200,-0.2366,12.5915,1550.4674,0.0013,25.5581,1548.658,-3.8558,35.2625
1547.26,1549.32,1546.9,1548.26,75375100,-0.1471,19.2159,1550.1278,0.0014,27.7317,1547.856,-3.7462,41.1183
1548.26,1548.61,1547.66,1548.16,48706700,-0.1409,18.2906,1549.825,0.0013,28.8673,1547.472,-3.6257,40.6724
1547.88,1547.88,1545.85,1546.71,98468200,-0.2135,16.1135,1549.3458,0.0013,25.0774,1547.134,-3.6056,34.2156
1546.69,1546.89,1546.05,1546.12,64090200,-0.2246,15.347,1548.8495,0.0009,20.7007,1547.304,-3.5959,31.7542
1546.31,1547.18,1546,1546.18,72332300,-0.1779,16.0077,1548.4388,0.0006,19.7673,1547.086,-3.5425,32.3481
1546.21,1546.38,1544.83,1545.42,84625500,-0.1785,14.441,1547.9744,0.0004,16.8269,1546.518,-3.5209,28.569
1545.25,1546.92,1545.25,1546.58,81944900,-0.0633,16.382,1547.7599,0.0006,24.2098,1546.202,-3.3713,41.1594
1546.47,1546.58,1544.01,1544.23,120422900,-0.172,13.7362,1547.2168,0.0008,17.5209,1545.706,-3.4032,28.8132
1544.17,1545.13,1543.78,1544.88,93278400,-0.102,12.5115,1546.8573,0.0009,18.2991,1545.458,-3.3375,35.2589
1545,1546.26,1544.79,1546.03,78331400,-0.0148,18.995,1546.73,0.001,27.7274,1545.428,-3.1563,45.6978
1545.96,1548.55,1545.93,1548.05,84406200,0.1008,30.7352,1546.9331,0.0011,48.3242,1545.954,-2.8172,59.472
1547.8,1548.92,1547.8,1548.86,78310600,0.1446,30.9147,1547.2295,0.0011,65.1604,1546.41,-2.4548,63.8806
1548.77,1549.88,1548.51,1548.54,74574900,0.1224,34.8001,1547.4312,0.0005,69.4512,1547.272,-2.1684,60.7479
1548.55,1552.22,1548.29,1552.22,77082100,0.3384,40.9168,1548.1679,0.001,79.6341,1548.74,-1.6258,76.5905
1552.04,1553.15,1551.75,1552.94,83929400,0.3513,43.2702,1548.9021,0.001,85.6757,1550.122,-1.1247,78.6168
1552.95,1555.79,1552.95,1553.98,90860100,0.376,52.0608,1549.6833,0.001,85.4269,1551.308,-0.6363,81.4065
1553.92,1554.3,1553.42,1553.52,71262400,0.3066,48.9547,1550.2736,0.0011,83.9843,1552.24,-0.2831,76.1345
1553.49,1553.98,1552.03,1553.85,69223400,0.2825,42.4753,1550.8238,0.001,83.4441,1553.302,0.0232,77.3948
1553.7,1553.94,1552.61,1553.06,71280100,0.1966,38.4683,1551.1678,0.0005,79.7335,1553.47,0.1999,67.2006
1553.14,1557.6,1552.84,1557.58,102639800,0.4161,49.2401,1552.1543,0.0014,86.421,1554.398,0.6966,82.7765
1557.65,1558.94,1557.65,1558.75,126813500,0.4167,53.4101,1553.169,0.0014,90.3526,1555.352,1.1711,84.9906
1558.72,1559.01,1556.09,1556.55,112261800,0.2184,44.1554,1553.6892,0.0016,85.9192,1555.958,1.3541,65.8814
1556.77,1559.12,1556.72,1557.31,113593200,0.2175,38.1885,1554.2462,0.0016,82.4264,1556.65,1.5426,68.7903
1557.44,1557.84,1556.15,1556.3,138589400,0.1126,34.2947,1554.5622,0.0016,75.0262,1557.298,1.5922,60.5567
1556.33,1556.36,1555.17,1555.72,198162800,0.0368,31.6711,1554.7403,0.0009,67.3658,1556.926,1.5666,55.9425
1555.82,1556.74,1555.82,1556.74,144041700,0.0781,32.0638,1555.048,0.0009,67.0544,1556.524,1.6101,62.0456
1552.35,1555.79,1549.16,1549.16,528196100,-0.389,20.0005,1554.1421,0.0023,44.7029,1555.046,1.0211,27.7569
1549.53,1554.74,1548.94,1554.74,285257500,-0.0343,15.0135,1554.2341,0.003,48.7935,1554.532,0.9932,51.4556
1554.52,1555.23,1549.46,1551.67,257605100,-0.2218,13.5624,1553.8396,0.0031,41.4681,1553.606,0.7151,42.2954
1551.77,1554.84,1551.34,1554.66,189107200,-0.0339,11.7347,1553.9658,0.0033,46.3749,1553.394,0.7275,52.2336
1554.56,1554.71,1550.72,1550.83,152487300,-0.2682,9.9678,1553.4834,0.0034,37.1052,1552.212,0.4235,41.3001
1551.38,1554.16,1551.01,1553.14,151839200,-0.0959,8.7056,1553.4306,0.0026,40.4671,1553.008,0.3647,49.023
1553.45,1560.57,1552.55,1560.57,166989500,0.3722,27.2444,1554.5289,0.003,60.3114,1554.174,0.9072,66.1913
1560.1,1562.23,1559.2,1559.2,200949600,0.2699,30.0511,1555.2476,0.0028,65.9413,1555.68,1.2127,61.6009
1559.19,1562.58,1558.86,1562.02,144725900,0.4259,27.447,1556.2895,0.0028,75.9256,1557.152,1.6631,67.2167
1562.02,1563.83,1561.28,1563.58,132938600,0.487,29.4042,1557.4111,0.002,83.3908,1559.702,2.1215,70.1178
1563.57,1566.73,1562.11,1565.23,139836100,0.5418,34.7238,1558.614,0.0021,86.032,1562.12,2.5881,73.1352
1565.4,1565.48,1562.01,1562.56,115320400,0.3391,30.5085,1559.2211,0.0015,82.0059,1562.518,2.7111,61.1458
1562.6,1563.11,1560.01,1561.14,94185300,0.1836,27.1155,1559.5163,0.0015,76.3654,1562.906,2.6634,55.3545
1560.99,1565,1560.89,1563.59,87965300,0.2934,29.8591,1560.143,0.0014,77.5854,1563.22,2.7911,62.674
1563.5,1564,1561.04,1561.23,81732900,0.0909,26.6403,1560.3103,0.0015,72.1279,1562.75,2.671,52.6889
1561.4,1561.71,1558.95,1559.05,69081900,-0.0723,23.8716,1560.1164,0.0014,48.89,1561.514,2.3726,44.7806
1558.85,1559.99,1558.07,1559.79,71810700,-0.0727,22.0336,1560.0662,0.0013,39.2138,1560.96,2.1709,47.9622
1559.34,1560.22,1558.72,1559.41,59735100,-0.1305,21.5987,1559.9652,0.0013,31.3004,1560.614,1.9577,46.3177
1559.3,1560.15,1558.79,1559.57,56372200,-0.1149,20.2254,1559.9044,0.0009,26.6406,1559.81,1.7812,47.2319
1559.61,1559.95,1556.21,1556.21,67931300,-0.3142,16.83,1559.336,0.0011,17.7604,1558.806,1.3545,33.0494
1556.1,1556.27,1552.88,1552.94,79405800,-0.4754,14.3163,1558.352,0.0013,12.0053,1557.584,0.744,24.4688
1552.82,1554.2,1552.6,1553.54,62761500,-0.3836,13.2395,1557.6117,0.0012,10.5304,1556.334,0.305,28.5532
1553.49,1553.68,1551.35,1552.66,65382400,-0.3731,11.7539,1556.8499,0.0012,10.4722,1554.984,-0.1126,26.0719
1552.61,1552.67,1551.17,1551.47,47495700,-0.3904,10.8496,1556.0222,0.0011,7.9302,1553.364,-0.5334,22.8497
1550.88,1550.88,1549.54,1549.67,96958000,-0.4448,9.7373,1555.045,0.0009,5.6926,1552.056,-1.0007,18.663
1549.69,1550.39,1549.24,1549.95,54010500,-0.3541,9.0962,1554.2611,0.0007,5.9505,1551.458,-1.333,21.3529
1549.85,1550.09,1548.49,1549.18,62321000,-0.3392,8.2267,1553.4794,0.0005,5.9395,1550.586,-1.6396,19.2519
1549.03,1551.78,1548.96,1550.44,68096700,-0.2121,16.6418,1553.0118,0.0008,9.6316,1550.142,-1.7606,32.3272
1550.42,1550.6,1548.69,1548.69,60392000,-0.2654,14.7639,1552.3469,0.0009,7.278,1549.586,-1.9749,25.4569
1548.46,1548.74,1547.22,1547.22,68402800,-0.2948,13.3777,1551.5582,0.0008,4.852,1549.096,-2.2376,20.9656
1547.29,1548.45,1546.78,1546.89,64364000,-0.2482,11.9548,1550.84,0.0008,3.7661,1548.484,-2.4443,20.0144
1546.72,1546.97,1543.37,1543.76,91263400,-0.3834,9.4536,1549.7508,0.0011,3.9085,1547.4,-2.828,13.1985
1543.92,1544.56,1543.45,1543.91,67770700,-0.3253,8.7987,1548.8522,0.0008,4.746,1546.094,-3.0844,14.8658
1543.86,1547.03,1543.86,1546.74,60933000,-0.106,21.6448,1548.5272,0.0014,16.5211,1545.704,-3.0245,40.6676
1546.79,1547.32,1544.99,1544.99,51202600,-0.1778,20.3923,1547.983,0.0014,17.435,1545.258,-3.0826,33.2009
1544.47,1544.72,1542.36,1543.45,83431800,-0.2343,17.3207,1547.2856,0.0015,15.4804,1544.57,-3.2159,27.8091
1543.39,1543.82,1539.73,1540.03,96758800,-0.4036,13.6354,1546.1694,0.0015,11.2402,1543.824,-3.5564,19.4092
1539.95,1541.12,1538.76,1541.07,105752600,-0.2886,11.9435,1545.3849,0.0016,15.2089,1543.256,-3.6998,27.4103
1541.13,1541.34,1539.43,1539.65,82085000,-0.3293,11.8993,1544.5026,0.001,13.2008,1541.838,-3.8832,23.5754
1540.01,1540.45,1539.74,1539.9,81521300,-0.2564,11.3307,1543.7945,0.0011,13.2398,1540.82,-3.9627,25.7695
1539.94,1540.25,1537.44,1537.44,94518100,-0.3552,9.4923,1542.8169,0.0012,8.8265,1539.618,-4.1761,19.2453
1537.09,1540.85,1536.56,1540.85,139763500,-0.0998,7.3823,1542.5143,0.0015,19.1743,1539.782,-4.0237,43.176
1540.78,1542.7,1540.78,1541.71,92292300,-0.0161,16.5436,1542.3905,0.0015,28.737,1539.91,-3.7898,47.8527
1541.76,1541.94,1539.77,1539.88,87054100,-0.1138,14.5851,1542.0043,0.0015,32.7201,1539.956,-3.7093,39.5425
1539.91,1539.95,1535.91,1535.91,124830600,-0.3283,11.628,1541.0667,0.0019,21.8134,1539.158,-3.9207,27.2315
1535.65,1536.99,1532.47,1532.52,193494300,-0.4717,9.2159,1539.7518,0.002,14.7052,1538.174,-4.3121,20.6452
1532.84,1533.61,1532.04,1532.22,219645300,-0.4224,8.5085,1538.5931,0.0013,10.3663,1536.448,-4.5935,20.1282
1532.12,1532.23,1531.37,1531.37,143901800,-0.4125,8.1148,1537.4819,0.001,6.9109,1534.38,-4.8294,18.5489
1501.4,1501.4,1490.5,1490.92,850478400,-2.7843,2.2942,1530.3185,0.0114,4.8755,1524.588,-8.186,3.3845
1490.44,1499.59,1490.44,1493.19,434663400,-2.3823,1.9355,1524.6064,0.0119,5.0044,1516.044,-10.5415,8.4261
1493.01,1501.29,1493.01,1499.51,268012100,-1.7543,4.5449,1520.7454,0.0127,9.1214,1509.442,-11.7626,22.0209
1499.65,1502.82,1499.23,1501.11,209300600,-1.4407,7.0424,1517.7246,0.0128,12.9871,1503.22,-12.4577,25.386
1501.08,1508.54,1501.08,1508.54,184703600,-0.796,16.5057,1516.3116,0.0134,20.8442,1498.654,-12.2676,39.8506
1508.65,1508.9,1502.69,1502.69,169186500,-0.9736,15.2692,1514.216,0.0035,22.668,1501.008,-12.4455,33.6815
1503.09,1504.38,1498.96,1498.96,180637300,-0.987,13.6787,1511.8689,0.0039,21.6907,1502.162,-12.7406,30.1145
1499.17,1499.81,1496.11,1497.36,248938500,-0.8606,12.6415,1509.6367,0.0034,19.9801,1501.732,-12.9542,28.5577
1497.41,1497.72,1494.41,1497.22,259306200,-0.6578,11.7238,1507.7265,0.0034,25.5628,1500.954,-12.9852,28.4035
1497.39,1497.61,1493.04,1493.09,184327300,-0.7154,10.5086,1505.4747,0.0015,21.827,1497.864,-13.1909,23.8462
1492.96,1492.96,1483.29,1483.29,426764800,-1.0989,8.3636,1502.0617,0.0025,14.5513,1493.984,-13.9835,16.3681
1483.3,1485.96,1481.3,1485.86,292899200,-0.6764,7.5212,1499.5691,0.0032,15.2081,1491.364,-14.2401,23.8802
1485.87,1485.93,1478.54,1478.66,214252700,-1.0901,6.3508,1496.3523,0.0034,10.2705,1487.624,-14.8533,18.3415
1478.73,1484.72,1478.59,1484.43,199516000,-0.6556,5.5276,1494.5181,0.0044,13.3138,1485.066,-14.7041,33.2334
1484.72,1491.11,1484.27,1490.8,131311900,-0.1808,18.0988,1493.9461,0.0051,24.6912,1484.608,-13.9115,46.2253
1490.84,1491.38,1487.25,1487.69,101121600,-0.3144,17.0512,1492.9836,0.004,30.8002,1485.488,-13.3801,41.4948
1487.63,1489.8,1486.92,1489.63,80017400,-0.0789,15.8924,1492.4677,0.0039,39.807,1486.242,-12.6565,45.6576
1489.72,1489.85,1484.84,1485.02,76814100,-0.2897,13.9848,1491.3219,0.0034,37.8647,1487.514,-12.3131,37.9564
1485.15,1486.64,1484.37,1486.56,80245400,-0.117,13.159,1490.5893,0.0029,43.7822,1487.94,-11.7809,41.8858
1486.56,1488.49,1486.56,1488.18,63211400,0.0433,17.6871,1490.2186,0.0021,54.2141,1487.416,-11.1004,46.188
1488.1,1490.69,1488.03,1488.44,66465600,0.11,22.8952,1489.945,0.0018,61.8437,1487.566,-10.4201,46.9444
1488.48,1493.65,1488.47,1493.65,67865000,0.4573,28.0942,1490.515,0.0024,74.5624,1488.37,-9.3526,60.3477
1493.63,1495.33,1492.68,1492.91,65004600,0.3534,31.0078,1490.8835,0.0015,75.7481,1489.948,-8.4688,57.8565
1493.16,1493.4,1490.3,1491.44,49993400,0.2233,27.8997,1490.9691,0.0018,72.0012,1490.924,-7.7971,52.6733
1491.99,1504.51,1491.99,1504.51,149110000,0.9554,46.6176,1493.0523,0.0041,81.3341,1494.19,-6.1393,75.8025
1504.8,1505.53,1503.88,1505.32,93968400,0.8919,47.3103,1494.9396,0.004,87.2253,1497.566,-4.7059,76.6511
1505.35,1510.89,1505.21,1510.18,111433300,1.1082,54.5224,1497.2843,0.004,90.5911,1500.872,-3.1416,81.3583
1510.25,1512.73,1509.15,1512.65,136723200,1.1327,54.209,1499.6483,0.0037,93.6255,1504.82,-1.6831,83.3994
1512.72,1513.75,1510.01,1510.14,101485200,0.8497,51.3039,1501.2624,0.0039,91.0717,1508.56,-0.7215,73.5758
1510.08,1514.31,1509.45,1514.31,93594200,0.9636,44.1626,1503.2697,0.002,94.0478,1510.52,0.3728,78.6009
1514.32,1515.66,1512.8,1514.74,96521800,0.8344,44.4251,1505.0344,0.002,94.8226,1512.404,1.2602,79.0929
1515.21,1515.21,1510.98,1511.78,87417700,0.5058,38.7191,1506.0722,0.002,91.4485,1512.724,1.7049,66.4694
1511.7,1514.22,1511.69,1512.62,75253700,0.4271,35.5665,1507.0795,0.0019,90.0179,1512.718,2.101,68.1979
1512.76,1514.29,1510.96,1514.29,73811500,0.4233,31.6525,1508.1888,0.0017,89.4687,1513.548,2.5205,71.6807
1514.16,1517.61,1513.99,1517.15,119501000,0.4783,38.9374,1509.5675,0.0014,91.7425,1514.116,3.0487,76.8834
1517.24,1517.68,1511.22,1511.79,104055100,0.011,31.1561,1509.9094,0.0023,71.4782,1513.526,3.0002,54.405
1511.59,1514.51,1510.91,1513.97,76694700,0.103,27.6084,1510.5341,0.0022,65.9592,1513.964,3.1018,60.0987
1513.71,1514.48,1511.65,1511.95,70011100,-0.067,25.0238,1510.7519,0.0023,54.0983,1513.83,2.985,52.7713
1511.97,1512.24,1510.27,1511.33,74956800,-0.1143,23.2738,1510.8409,0.0022,40.8339,1513.238,2.81,50.5034
1511.25,1511.54,1507.48,1507.48,79761500,-0.3404,19.9552,1510.3238,0.0019,27.2226,1511.304,2.3338,38.2532
1507.3,1509.12,1506.92,1508.8,84946800,-0.2458,18.3218,1510.0894,0.0016,23.9724,1510.706,2.0393,43.8562
1508.64,1509.4,1503.87,1503.87,105894300,-0.5145,14.8066,1509.1325,0.0017,15.9816,1508.686,1.3922,31.1769
1504.23,1504.23,1502.46,1502.78,119197700,-0.521,13.8269,1508.1552,0.0017,11.3552,1506.852,0.7823,28.9559
1502.85,1505.41,1502.85,1505.18,97754100,-0.3259,16.9894,1507.6975,0.0021,13.5272,1505.622,0.487,40.2102
1504.76,1506.14,1503.9,1506.14,105214700,-0.2266,18.4092,1507.4579,0.0019,19.198,1505.354,0.3267,44.4353
1506.47,1507.79,1505.94,1507.62,134128300,-0.0918,24.0581,1507.4828,0.0019,27.1081,1505.118,0.3154,50.8594
1507.74,1508.01,1506.77,1507.62,185042900,-0.0392,23.6909,1507.5039,0.0009,35.659,1505.868,0.303,50.8594
1507.55,1507.91,1506.89,1507.91,132727400,0.0015,22.452,1507.5664,0.0006,43.78,1506.894,0.3129,52.4119
1520.58,1523.62,1516.81,1516.81,553813600,0.5759,59.8056,1508.9885,0.0025,51.7922,1509.22,1.0271,78.0036
1516.66,1523.14,1516.6,1518.79,266697600,0.6692,48.5682,1510.4964,0.0024,60.2528,1511.75,1.7329,80.7651
1519,1519.35,1516.21,1517.77,201486900,0.5658,43.9893,1511.6154,0.0026,64.2864,1513.78,2.1848,74.9485
1517.43,1517.91,1513.56,1516.41,181628200,0.4262,38.2282,1512.3531,0.0028,64.6197,1515.538,2.4054,67.2044
1516.12,1516.45,1514.62,1515.89,143070400,0.3525,35.9432,1512.8972,0.0028,63.3469,1517.134,2.5094,64.1626
1515.8,1520.26,1515.78,1517.99,168726400,0.4133,43.0359,1513.6807,0.0011,64.95,1517.37,2.7298,70.6093
1518.23,1518.43,1514.1,1514.47,141253500,0.1159,37.065,1513.8021,0.0013,58.5324,1516.506,2.5905,51.8487
1514.51,1517.34,1514.07,1517.34,113250000,0.2385,33.0672,1514.3464,0.0017,59.8425,1516.42,2.6809,61.7835
1517.25,1517.87,1511.83,1511.84,138433900,-0.1562,26.8867,1513.9608,0.0024,39.9233,1515.506,2.2823,41.9021
1511.97,1512.28,1511.14,1512.19,108156700,-0.1582,25.835,1513.6884,0.0024,29.5322,1514.766,1.972,43.2955
1512.31,1513.49,1511.15,1511.15,91030700,-0.2462,28.0287,1513.2979,0.0022,19.7247,1513.398,1.6235,39.8846
1511.91,1514.35,1511.62,1512.33,81914100,-0.1926,27.8926,1513.149,0.0021,17.4992,1512.97,1.426,45.7082
1512.51,1514.17,1511.8,1514.14,86321800,-0.0585,25.3377,1513.3014,0.0019,22.631,1512.33,1.3994,53.9241
1513.98,1514.27,1510.11,1510.11,76171900,-0.2769,21.3728,1512.8104,0.0015,15.0874,1511.984,1.0412,38.3986
1510.23,1510.89,1508.06,1510.04,95571800,-0.239,19.0347,1512.3842,0.0015,16.4228,1511.554,0.743,38.1695
1510.53,1511.84,1509.15,1509.63,65003600,-0.2289,20.7789,1511.9605,0.0015,16.2832,1511.25,0.4683,36.6336
1509.94,1509.94,1507.52,1508.37,71801200,-0.2709,18.6995,1511.4081,0.0014,13.593,1510.458,0.1472,31.8996
1508.46,1508.53,1506.66,1507.57,73012000,-0.2665,17.1677,1510.8176,0.001,13.0065,1509.144,-0.1699,29.0404
1507.62,1507.62,1504.55,1505.83,89073300,-0.3341,14.8616,1510.0503,0.0004,13.0247,1508.288,-0.5552,23.5348
1505.35,1505.8,1504.41,1505.71,75443800,-0.2781,13.8674,1509.3826,0.0004,13.0427,1507.422,-0.8603,23.1712
1506.3,1509.43,1506.23,1508.62,62459300,-0.0676,27.9478,1509.2652,0.0012,22.9277,1507.22,-0.8574,46.9972
