Record ID,Record Status,Record Validity,Flow Name,Phase,Judge Result,Batch Num,Rework Times,Audit Number,frames,frame_count,annotation,result elements,frameCount,validFrames,annotatedFrames,annotatedFrameCount,validFrameCount,art_no,polygon,art_no_polygon,Audit Bill Status
6859,COMPLETED,VALID,1010dive箱包图像标注,QA1,MODIFY,29,0,15,https://projecteng.oss-cn-shanghai.aliyuncs.com/2d_json/3b4008d56f364f628c6602197127216b.json,10,https://oss-prd.appen.com.cn:9001/tool-prod/a2499256-fea7-487b-9fb2-8f3c66faafa2/R.1665395762435.a2499256-fea7-487b-9fb2-8f3c66faafa2.CKS5jAMQAA3d3d_2022-10-10T095025Z.6859.result.json,"{""0"":{""shapes"":{""polygon"":{""total"":10}}}}",10,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",10,10,10,10,10,AUDITING
6860,COMPLETED,VALID,1010dive箱包图像标注,QA1,MODIFY,29,0,15,https://projecteng.oss-cn-shanghai.aliyuncs.com/2d_json/593489903b2e4b8881a0dc8805fba5e4.json,10,https://oss-prd.appen.com.cn:9001/tool-prod/a2499256-fea7-487b-9fb2-8f3c66faafa2/R.1665395808133.a2499256-fea7-487b-9fb2-8f3c66faafa2.CKS5jAMQAQ3d3d_2022-10-10T095243Z.6860.result.json,"{""0"":{""shapes"":{""polygon"":{""total"":10}}}}",10,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",10,10,10,10,10,AUDITING
6861,COMPLETED,VALID,1010dive箱包图像标注,QA1,APPROVED,29,0,15,https://projecteng.oss-cn-shanghai.aliyuncs.com/2d_json/286987a76b76431b8aa326f482b3acaa.json,10,https://oss-prd.appen.com.cn:9001/tool-prod/5ebe83e4-1fdb-4025-b95f-9bb081c2985c/R.1665395547498.5ebe83e4-1fdb-4025-b95f-9bb081c2985c.CKC5jAMQDA3d3d_2022-10-10T094436Z.6861.result.json,"{""0"":{""shapes"":{""polygon"":{""total"":10}}}}",10,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",10,10,10,10,10,AUDITING
